part,age,key,sex,style,stim,hemifield,response,rt
85,24,Right,male,Abstract,363ABSTRACTO,Left,1,271
85,24,Right,male,Abstract,184ABSTRACTO,Right,0,319
85,24,Right,male,Abstract,146ABSTRACTO,Left,1,252
85,24,Right,male,Abstract,317ABSTRACTO,Right,1,187
85,24,Right,male,Abstract,118ABSTRACTO,Right,1,185
85,24,Right,male,Abstract,212ABSTRACTO,Left,0,146
85,24,Right,male,Representational,111REALISTA,Left,1,131
85,24,Right,male,Representational,075IMPRESION,Right,0,187
85,24,Right,male,Abstract,262ABSTRACTO,Left,0,384
85,24,Right,male,Representational,127IMPRESION,Left,1,220
85,24,Right,male,Representational,104POSTIMPRESjpg,Left,1,139
85,24,Right,male,Abstract,348ABSTRACTO,Left,1,116
85,24,Right,male,Abstract,363ABSTRACTO,Right,0,79
85,24,Right,male,Abstract,214ABSTRACTO,Left,1,190
85,24,Right,male,Representational,311REALISTA,Right,1,131
85,24,Right,male,Abstract,365ABSTRACTO,Left,1,174
85,24,Right,male,Abstract,110ABSTRACTO,Right,0,144
85,24,Right,male,Representational,075IMPRESION,Left,1,111
85,24,Right,male,Representational,205REALISTA,Left,1,274
85,24,Right,male,Abstract,044ABSTRACTO,Right,0,205
85,24,Right,male,Representational,062REALISTA,Right,1,443
85,24,Right,male,Abstract,270ABSTRACTO,Right,1,244
85,24,Right,male,Representational,030POSTIMPRES,Left,1,168
85,24,Right,male,Representational,226REALISTA,Left,0,291
85,24,Right,male,Abstract,098ABSTRACTO,Right,1,276
85,24,Right,male,Abstract,364ABSTRACTO,Right,1,218
85,24,Right,male,Abstract,061ABSTRACTO,Right,0,192
85,24,Right,male,Abstract,317ABSTRACTO,Left,1,171
85,24,Right,male,Abstract,404ABSTRACTO,Left,0,365
85,24,Right,male,Representational,104POSTIMPRESjpg,Right,0,318
85,24,Right,male,Abstract,184ABSTRACTO,Left,0,487
85,24,Right,male,Abstract,217ABSTRACTO,Left,0,447
85,24,Right,male,Abstract,230ABSTRACTO,Left,1,283
85,24,Right,male,Abstract,236ABSTRACTO,Right,0,180
85,24,Right,male,Representational,016POSTIMPRES,Right,0,206
85,24,Right,male,Representational,069POSTIMPRES,Left,0,346
85,24,Right,male,Representational,396REALISTA,Right,0,356
85,24,Right,male,Abstract,362ABSTRACTO,Right,1,200
85,24,Right,male,Representational,350REALISTA,Left,1,296
85,24,Right,male,Abstract,044ABSTRACTO,Left,1,316
85,24,Right,male,Abstract,180ABSTRACTO,Left,1,334
85,24,Right,male,Abstract,351ABSTRACTO,Left,1,230
85,24,Right,male,Abstract,121ABSTRACTO,Right,0,281
85,24,Right,male,Representational,278POSTIMPRES,Left,0,359
85,24,Right,male,Representational,241POSTIMPRES,Right,0,477
85,24,Right,male,Representational,017REALISTA,Left,1,319
85,24,Right,male,Representational,079POSTIMPRES,Left,1,332
85,24,Right,male,Abstract,132ABSTRACTO,Left,1,269
85,24,Right,male,Abstract,282ABSTRACTO,Right,1,446
85,24,Right,male,Abstract,067ABSTRACTO,Left,1,436
85,24,Right,male,Representational,287REALISTA,Right,0,343
85,24,Right,male,Representational,111REALISTA,Right,1,387
85,24,Right,male,Representational,106REALISTA,Right,1,339
85,24,Right,male,Representational,079POSTIMPRES,Right,1,331
85,24,Right,male,Abstract,176ABSTRACTO,Left,1,237
85,24,Right,male,Representational,043REALISTA,Left,1,479
85,24,Right,male,Representational,373POSTIMPRES,Right,1,380
85,24,Right,male,Representational,308POSTIMPRES,Right,0,352
85,24,Right,male,Abstract,099ABSTRACTO,Right,0,312
85,24,Right,male,Representational,315IMPRESION,Right,0,364
85,24,Right,male,Abstract,117ABSTRACTO,Right,1,582
85,24,Right,male,Abstract,282ABSTRACTO,Left,0,293
85,24,Right,male,Abstract,084ABSTRACTO,Left,1,188
85,24,Right,male,Abstract,343ABSTRACTO,Right,1,391
85,24,Right,male,Representational,280REALISTA,Right,1,511
85,24,Right,male,Abstract,269ABSTRACTO,Left,0,218
85,24,Right,male,Representational,130IMPRESION,Right,1,392
85,24,Right,male,Abstract,051ABSTRACTO,Right,0,416
85,24,Right,male,Abstract,061ABSTRACTO,Left,1,235
85,24,Right,male,Abstract,329ABSTRACTO,Right,0,331
85,24,Right,male,Abstract,188ABSTRACTO,Left,0,404
85,24,Right,male,Abstract,036ABSTRACTO,Right,0,462
85,24,Right,male,Representational,173REALISTA,Left,1,636
85,24,Right,male,Abstract,230ABSTRACTO,Right,0,518
85,24,Right,male,Abstract,067ABSTRACTO,Right,1,470
85,24,Right,male,Abstract,214ABSTRACTO,Right,1,494
85,24,Right,male,Abstract,365ABSTRACTO,Right,1,427
85,24,Right,male,Abstract,359ABSTRACTO,Left,0,564
85,24,Right,male,Representational,345POSTIMPRES,Left,0,317
85,24,Right,male,Representational,043REALISTA,Right,0,376
85,24,Right,male,Abstract,293ABSTRACTO,Left,0,598
85,24,Right,male,Abstract,270ABSTRACTO,Left,1,277
85,24,Right,male,Representational,332IMPRESION,Right,0,492
85,24,Right,male,Representational,226REALISTA,Right,0,452
85,24,Right,male,Abstract,342ABSTRACTO,Right,0,522
