subject_nr,correct,id,stim_type,response_time,block_id,age,gender,PT
10,1,prc3,a,1729,practice,24,h,80
10,1,prc4,a,680,practice,24,h,80
10,1,prc1,d,4253,practice,24,h,80
10,1,prc5,b,4528,practice,24,h,80
10,0,prc2,e,4548,practice,24,h,80
10,1,prc8,c,789,practice,24,h,80
10,1,prc7,c,425,practice,24,h,80
10,1,prc6,b,498,practice,24,h,80
10,0,23,a,566,80,24,h,80
10,0,30,a,584,80,24,h,80
10,1,52,b,408,80,24,h,80
10,1,50,b,502,80,24,h,80
10,0,3,d,453,80,24,h,80
10,0,57,c,535,80,24,h,80
10,1,44,b,546,80,24,h,80
10,0,70,c,613,80,24,h,80
10,0,14,e,665,80,24,h,80
10,0,4,d,573,80,24,h,80
10,1,17,e,1106,80,24,h,80
10,0,29,a,569,80,24,h,80
10,1,64,c,678,80,24,h,80
10,0,20,a,530,80,24,h,80
10,1,54,b,517,80,24,h,80
10,1,10,e,605,80,24,h,80
10,0,6,d,537,80,24,h,80
10,0,26,a,493,80,24,h,80
10,1,35,a,575,80,24,h,80
10,1,51,b,660,80,24,h,80
10,1,41,b,498,80,24,h,80
10,0,55,c,690,80,24,h,80
10,1,49,b,503,80,24,h,80
10,1,42,b,416,80,24,h,80
10,1,43,b,662,80,24,h,80
10,0,33,a,571,80,24,h,80
10,1,5,d,652,80,24,h,80
10,1,72,c,697,80,24,h,80
10,0,32,a,453,80,24,h,80
10,0,8,d,938,80,24,h,80
10,1,12,e,643,80,24,h,80
10,1,13,e,928,80,24,h,80
10,1,48,b,905,80,24,h,80
10,1,16,e,730,80,24,h,80
10,0,71,c,699,80,24,h,80
10,1,11,e,503,80,24,h,80
10,1,65,c,575,80,24,h,80
10,0,36,a,553,80,24,h,80
10,0,53,b,1672,80,24,h,80
10,1,69,c,756,80,24,h,80
10,0,22,a,590,80,24,h,80
10,1,68,c,549,80,24,h,80
10,1,7,d,710,80,24,h,80
10,0,9,d,620,80,24,h,80
10,1,1,d,453,80,24,h,80
10,1,39,b,472,80,24,h,80
10,1,18,e,527,80,24,h,80
10,1,27,a,732,80,24,h,80
10,1,21,a,726,80,24,h,80
10,0,2,d,579,80,24,h,80
10,0,61,c,491,80,24,h,80
10,1,67,c,481,80,24,h,80
10,0,45,b,604,80,24,h,80
10,0,40,b,659,80,24,h,80
10,1,38,b,524,80,24,h,80
10,1,15,e,465,80,24,h,80
10,0,47,b,721,80,24,h,80
10,1,28,a,392,80,24,h,80
10,0,19,a,544,80,24,h,80
10,1,66,c,513,80,24,h,80
10,1,24,a,651,80,24,h,80
10,1,60,c,705,80,24,h,80
10,0,25,a,654,80,24,h,80
10,0,58,c,564,80,24,h,80
10,1,37,b,592,80,24,h,80
10,0,63,c,550,80,24,h,80
10,0,62,c,524,80,24,h,80
10,0,34,a,546,80,24,h,80
10,1,56,c,946,80,24,h,80
10,1,31,a,518,80,24,h,80
10,1,59,c,655,80,24,h,80
10,1,46,b,481,80,24,h,80
10,1,72,c,1527,150,24,h,150
10,1,30,a,533,150,24,h,150
10,1,41,b,432,150,24,h,150
10,1,4,d,496,150,24,h,150
10,1,55,c,565,150,24,h,150
10,1,29,a,458,150,24,h,150
10,1,27,a,543,150,24,h,150
10,1,10,e,466,150,24,h,150
10,1,65,c,445,150,24,h,150
10,1,51,b,649,150,24,h,150
10,1,8,d,326,150,24,h,150
10,0,21,a,597,150,24,h,150
10,1,11,e,566,150,24,h,150
10,0,47,b,441,150,24,h,150
10,0,45,b,414,150,24,h,150
10,1,57,c,514,150,24,h,150
10,0,25,a,465,150,24,h,150
10,0,63,c,464,150,24,h,150
10,1,16,e,461,150,24,h,150
10,1,61,c,702,150,24,h,150
10,1,43,b,525,150,24,h,150
10,0,34,a,437,150,24,h,150
10,0,20,a,391,150,24,h,150
10,1,12,e,773,150,24,h,150
10,1,68,c,557,150,24,h,150
10,1,24,a,492,150,24,h,150
10,1,33,a,720,150,24,h,150
10,1,40,b,551,150,24,h,150
10,1,14,e,773,150,24,h,150
10,0,70,c,387,150,24,h,150
10,1,7,d,450,150,24,h,150
10,0,58,c,538,150,24,h,150
10,1,67,c,636,150,24,h,150
10,1,6,d,481,150,24,h,150
10,1,35,a,477,150,24,h,150
10,0,53,b,405,150,24,h,150
10,1,5,d,301,150,24,h,150
10,1,18,e,539,150,24,h,150
10,1,23,a,447,150,24,h,150
10,1,19,a,415,150,24,h,150
10,0,3,d,614,150,24,h,150
10,0,22,a,509,150,24,h,150
10,1,36,a,456,150,24,h,150
10,1,37,b,506,150,24,h,150
10,0,56,c,729,150,24,h,150
10,1,59,c,671,150,24,h,150
10,0,49,b,367,150,24,h,150
10,1,17,e,726,150,24,h,150
10,1,28,a,598,150,24,h,150
10,1,31,a,501,150,24,h,150
10,1,71,c,603,150,24,h,150
10,1,54,b,433,150,24,h,150
10,0,44,b,918,150,24,h,150
10,0,62,c,644,150,24,h,150
10,0,1,d,843,150,24,h,150
10,0,38,b,560,150,24,h,150
10,0,66,c,757,150,24,h,150
10,1,39,b,583,150,24,h,150
10,1,13,e,503,150,24,h,150
10,1,52,b,512,150,24,h,150
10,1,2,d,492,150,24,h,150
