"A","B","SOA","acc","accuracy","allow_1","allow_2","average_response_time","avg_rt","background","bidi","block","block_id","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_bienvenido","correct_inst1","correct_keyboard_response","correct_keyboard_response_1","correct_response","correct_w","correct_w_1","count_B","count_C","count_Main","count_about_this_template","count_bienvenido","count_blank","count_block_loop","count_config","count_cross","count_cross_1","count_end","count_end_1","count_end_of_experiment","count_end_of_practice","count_experiment","count_feedback","count_feedback_1","count_feedback_2","count_incorrecto","count_ins1","count_ins_2","count_inst1","count_inst2","count_inst_UR_1","count_inst_UR_def","count_inst_UR_def_1","count_instr_80","count_instr_80_1","count_instrucciones","count_instructions","count_insts_previous","count_inter","count_interbloque","count_keyboard_response","count_keyboard_response_1","count_logger","count_logger_1","count_loop_150","count_loop_80","count_loop_prc","count_loop_ur","count_loop_ur_PRC","count_new_form_multiple_choice","count_new_logger","count_new_loop","count_practice_loop","count_randomization","count_randomization_1","count_reset_feedback","count_response","count_seq_UR","count_seq_UR_1","count_target","count_target_1","count_target_1_1","count_trial_sequence","count_ur_inst_sp","count_ur_inst_sp_1","count_w","count_w_1","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_var","fullscreen","height","id","keyboard_backend","live_row","live_row_loop_prc","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","resp","response","response_bienvenido","response_end_of_experiment","response_end_of_practice","response_feedback","response_ins1","response_inst1","response_inst_UR_def_1","response_instructions","response_keyboard_response","response_keyboard_response_1","response_time","response_time_bienvenido","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_ins1","response_time_inst1","response_time_inst_UR_def_1","response_time_instructions","response_time_keyboard_response","response_time_keyboard_response_1","response_time_w","response_time_w_1","response_w","response_w_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_left","stim_name","stim_right","stim_type","subject_nr","subject_parity","tecla_dif","tecla_igual","time_B","time_C","time_Main","time_about_this_template","time_bienvenido","time_blank","time_block_loop","time_config","time_cross","time_cross_1","time_end","time_end_1","time_end_of_experiment","time_end_of_practice","time_experiment","time_feedback","time_feedback_1","time_feedback_2","time_incorrecto","time_ins1","time_ins_2","time_inst1","time_inst2","time_inst_UR_1","time_inst_UR_def","time_inst_UR_def_1","time_instr_80","time_instr_80_1","time_instrucciones","time_instructions","time_insts_previous","time_inter","time_interbloque","time_keyboard_response","time_keyboard_response_1","time_logger","time_logger_1","time_loop_150","time_loop_80","time_loop_prc","time_loop_ur","time_loop_ur_PRC","time_new_form_multiple_choice","time_new_logger","time_new_loop","time_practice_loop","time_randomization","time_randomization_1","time_reset_feedback","time_response","time_seq_UR","time_seq_UR_1","time_target","time_target_1","time_target_1_1","time_trial_sequence","time_ur_inst_sp","time_ur_inst_sp_1","time_w","time_w_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"dist_round_id_25_13_9.png","dist_round_id_58_19_46.png","80","0","0","A","L","4656.66666667","4656.66666667","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","1","NA","1","NA","0","NA","0","NA","0","NA","0","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","1","NA","0","NA","0","0","0","0","0","NA","NA","NA","NA","0","NA","NA","1","NA","NA","1","NA","NA","0","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc1","legacy","0","0","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","a","enter","NA","NA","NA","NA","space","NA","NA","a","NA","6215","95321","NA","NA","NA","NA","20514","NA","NA","6215","NA","6125","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_58_19_46.png","NA","dist_round_id_25_13_9.png","d","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","130027","NA","NA","NA","NA","NA","2279","NA","127021","NA","127024","NA","NA","97610","118128","NA","NA","NA","NA","NA","2279","NA","NA","NA","NA","125390","NA","131664","NA","NA","NA","124320","NA","NA","NA","NA","NA","NA","124899","NA","NA","130512","NA","NA","130430","NA","NA","124898","NA","NA","118128","NA","Extended template","0","13970","3","yes","1920"
"curved_id_67_7_19.png","sharp_id_67_7_19.png","80","33.3333333333","33.3333333333","A","L","4238.5","4238.5","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","3","NA","2","NA","0","NA","0","NA","1","NA","1","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","3","NA","1","NA","0","0","0","0","0","NA","NA","NA","NA","1","NA","NA","3","NA","NA","3","NA","NA","1","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc4","legacy","1","1","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","enter","NA","NA","NA","NA","space","NA","NA","l","NA","2984","95321","NA","NA","NA","NA","20514","NA","NA","2984","NA","6125","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","sharp_id_67_7_19.png","NA","curved_id_67_7_19.png","a","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","135912","NA","131813","NA","NA","NA","2279","NA","135909","NA","127024","NA","NA","97610","118128","NA","NA","NA","NA","NA","2279","NA","NA","NA","NA","132925","NA","136388","NA","NA","NA","124320","NA","NA","NA","NA","NA","NA","132428","NA","NA","132925","NA","NA","132837","NA","NA","132427","NA","NA","118128","NA","Extended template","1","16954","4","yes","1920"
"dist_sharp_id_9_10_42.png","dist_sharp_id_9_10_42.png","80","50","50","A","L","3636.8","3636.8","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","5","NA","3","NA","0","NA","0","NA","2","NA","2","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","5","NA","2","NA","0","0","0","0","0","NA","NA","NA","NA","2","NA","NA","5","NA","NA","5","NA","NA","2","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc8","legacy","2","2","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","enter","NA","NA","NA","NA","space","NA","NA","a","NA","1230","95321","NA","NA","NA","NA","20514","NA","NA","1230","NA","6125","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_9_10_42.png","NA","dist_sharp_id_9_10_42.png","c","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","138728","NA","136437","NA","NA","NA","2279","NA","138725","NA","127024","NA","NA","97610","118128","NA","NA","NA","NA","NA","2279","NA","NA","NA","NA","137495","NA","139202","NA","NA","NA","124320","NA","NA","NA","NA","NA","NA","136997","NA","NA","137495","NA","NA","137408","NA","NA","136997","NA","NA","118128","NA","Extended template","2","18184","5","yes","1920"
"dist_round_id_59_20_29.png","dist_round_id_59_20_29.png","80","33.3333333333","33.3333333333","A","L","3536","3536","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","7","NA","4","NA","0","NA","0","NA","3","NA","3","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","7","NA","3","NA","0","0","0","0","0","NA","NA","NA","NA","3","NA","NA","7","NA","NA","7","NA","NA","3","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc5","legacy","3","3","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","same","l","enter","NA","NA","NA","NA","space","NA","NA","l","NA","5484","95321","NA","NA","NA","NA","20514","NA","NA","5484","NA","6125","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_59_20_29.png","NA","dist_round_id_59_20_29.png","b","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","144467","NA","139317","NA","NA","NA","2279","NA","141461","NA","141464","NA","NA","97610","118128","NA","NA","NA","NA","NA","2279","NA","NA","NA","NA","140377","NA","145916","NA","NA","NA","124320","NA","NA","NA","NA","NA","NA","139888","NA","NA","144952","NA","NA","144870","NA","NA","139888","NA","NA","118128","NA","Extended template","2","24752","7","yes","1920"
"curved_id_66_7_46.png","sharp_id_66_7_46.png","80","37.5","37.5","A","L","3459.33333333","3459.33333333","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","9","NA","5","NA","0","NA","0","NA","4","NA","4","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","9","NA","4","NA","0","0","0","0","0","NA","NA","NA","NA","4","NA","NA","9","NA","NA","9","NA","NA","4","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc3","legacy","4","4","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","enter","NA","NA","NA","NA","space","NA","NA","l","NA","5459","95321","NA","NA","NA","NA","20514","NA","NA","5459","NA","6125","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","sharp_id_66_7_46.png","NA","curved_id_66_7_46.png","a","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","150963","NA","145979","NA","NA","NA","2279","NA","147957","NA","147960","NA","NA","97610","118128","NA","NA","NA","NA","NA","2279","NA","NA","NA","NA","147034","NA","152548","NA","NA","NA","124320","NA","NA","NA","NA","NA","NA","146542","NA","NA","151448","NA","NA","151366","NA","NA","146542","NA","NA","118128","NA","Extended template","3","31134","9","yes","1920"
"dist_sharp_id_8_9_164.png","dist_sharp_id_8_9_164.png","80","30","30","A","L","3421.27272727","3421.27272727","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","11","NA","6","NA","0","NA","0","NA","5","NA","5","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","11","NA","5","NA","0","0","0","0","0","NA","NA","NA","NA","5","NA","NA","11","NA","NA","11","NA","NA","5","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc7","legacy","5","5","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","same","l","enter","NA","NA","NA","NA","space","NA","NA","l","NA","5534","95321","NA","NA","NA","NA","20514","NA","NA","5534","NA","6125","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_8_9_164.png","NA","dist_sharp_id_8_9_164.png","c","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","157646","NA","152614","NA","NA","NA","2279","NA","154637","NA","154643","NA","NA","97610","118128","NA","NA","NA","NA","NA","2279","NA","NA","NA","NA","153671","NA","159260","NA","NA","NA","124320","NA","NA","NA","NA","NA","NA","153177","NA","NA","158132","NA","NA","158049","NA","NA","153177","NA","NA","118128","NA","Extended template","3","37634","11","yes","1920"
"dist_round_id_5_9_23.png","dist_round_id_5_9_23.png","80","36.3636363636","36.3636363636","A","L","3231.41666667","3231.41666667","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","13","NA","7","NA","0","NA","0","NA","6","NA","6","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","13","NA","6","NA","0","0","0","0","0","NA","NA","NA","NA","6","NA","NA","13","NA","NA","13","NA","NA","6","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc6","legacy","6","6","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","enter","NA","NA","NA","NA","space","NA","NA","a","NA","1143","95321","NA","NA","NA","NA","20514","NA","NA","1143","NA","6125","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_5_9_23.png","NA","dist_round_id_5_9_23.png","b","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","161552","NA","159340","NA","NA","NA","2279","NA","161549","NA","154643","NA","NA","97610","118128","NA","NA","NA","NA","NA","2279","NA","NA","NA","NA","160406","NA","162026","NA","NA","NA","124320","NA","NA","NA","NA","NA","NA","159910","NA","NA","160406","NA","NA","160321","NA","NA","159909","NA","NA","118128","NA","Extended template","4","38777","12","yes","1920"
"dist_sharp_id_25_13_179.png","dist_sharp_id_58_19_174.png","80","41.6666666667","41.6666666667","A","L","3054.92307692","3054.92307692","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","15","NA","8","NA","0","NA","0","NA","7","NA","7","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","15","NA","7","NA","0","0","0","0","0","NA","NA","NA","NA","7","NA","NA","15","NA","NA","15","NA","NA","7","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc2","legacy","7","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","enter","NA","NA","NA","NA","space","NA","NA","l","NA","937","95321","NA","NA","NA","NA","20514","NA","NA","937","NA","6125","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_58_19_174.png","NA","dist_sharp_id_25_13_179.png","e","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","164058","NA","162068","NA","NA","NA","2279","NA","164052","NA","154643","NA","NA","97610","118128","NA","NA","NA","NA","NA","2279","NA","NA","NA","NA","163115","NA","164533","NA","NA","NA","124320","NA","NA","NA","NA","NA","NA","162620","NA","NA","163115","NA","NA","163030","NA","NA","162619","NA","NA","118128","NA","Extended template","5","39714","13","yes","1920"
"dist_sharp_id_13_10_161.png","dist_sharp_id_46_17_163.png","80","42.8571428571","42.8571428571","A","L","6582.86666667","6582.86666667","#c0c0c0","yes","NA","80","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","0","NA","NA","NA","0","NA","0","0","NA","0","17","NA","9","NA","0","NA","0","NA","8","NA","8","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","17","NA","8","NA","0","0","0","0","0","NA","NA","NA","NA","8","NA","NA","17","NA","NA","17","NA","NA","8","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","14","legacy","0","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","enter","NA","NA","NA","NA","space","NA","NA","l","NA","824","95321","NA","NA","NA","NA","20514","NA","NA","824","NA","58205","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_13_10_161.png","NA","dist_sharp_id_46_17_163.png","e","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","176916","NA","164612","NA","NA","NA","2279","NA","164052","NA","154643","NA","NA","97610","118128","NA","NA","NA","164687","164694","2279","NA","NA","NA","NA","177405","NA","178229","NA","NA","176386","124320","NA","NA","NA","NA","NA","NA","176912","NA","NA","177405","NA","NA","177321","NA","NA","176912","NA","NA","118128","NA","Extended template","6","98743","15","yes","1920"
"dist_round_id_14_11_68.png","dist_round_id_47_17_115.png","80","46.6666666667","46.6666666667","A","L","6269.5625","6269.5625","#c0c0c0","yes","NA","80","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","0","NA","NA","NA","0","NA","0","0","NA","0","19","NA","10","NA","0","NA","0","NA","9","NA","9","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","19","NA","9","NA","0","0","0","0","0","NA","NA","NA","NA","9","NA","NA","19","NA","NA","19","NA","NA","9","0","NA","4","NA","mié 04 oct 2017 11:44:04 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","6","legacy","1","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-11.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","enter","NA","NA","NA","NA","space","NA","NA","l","NA","1570","95321","NA","NA","NA","NA","20514","NA","NA","1570","NA","58205","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_47_17_115.png","NA","dist_round_id_14_11_68.png","d","11","odd","L","A","NA","NA","124320","NA","2285","NA","NA","2279","178854","NA","178295","NA","NA","NA","2279","NA","164052","NA","154643","NA","NA","97610","118128","NA","NA","NA","164687","164694","2279","NA","NA","NA","NA","179347","NA","180917","NA","NA","176386","124320","NA","NA","NA","NA","NA","NA","178851","NA","NA","179347","NA","NA","179260","NA","NA","178851","NA","NA","118128","NA","Extended template","7","100313","16","yes","1920"
